# The following common verbs are selected from some randomly selected files in the EMMA corpus and all have at least 50 occurrences. I also did some inspection to ensure that all included here are verbs. Nevertheless, this approach to normalize the archaic verb inflections in early modern English is a naive one, but should work for most cases as they represent some most frequently verbs that are likely to be used. The first column is the base verb, the second column the third person singular and the last the simple past tense. 
have	has	had
derive	derives	derived
end	ends	ended
marry	marries	married
employ	employs	employed
pardon	pardons	pardoned
entertain	entertains	entertained
plant	plants	planted
encourage	encourages	encouraged
protect	protects	protected
restrain	restrains	restrained
differ	differs	differed
consult	consults	consulted
imply	implies	implied
offend	offends	offended
stir	stirs	stirred
tend	tends	tended
imitate	imitates	imitated
record	records	recorded
play	plays	played
sing	sings	sang
reject	rejects	rejected
refer	refers	referred
assemble	assembles	assembled
improve	improves	improved
omit	omits	omitted
praise	praises	praised
thank	thanks	thanked
despise	despises	despised
sink	sinks	sank
neglect	neglects	neglected
advance	advances	advanced
instruct	instructs	instructed
adore	adores	adored
embrace	embraces	embraced
tear	tears	tore
furnish	furnishes	furnished
retain	retains	retained
relieve	relieves	relieved
exercise	exercises	exercised
compare	compares	compared
object	objects	objected
insist	insists	insisted
quote	quotes	quoted
note	notes	noted
afflict	afflicts	afflicted
reveal	reveals	revealed
forbear	forbears	forbore
mind	minds	minded
reflect	reflects	reflected
increase	increases	increased
rule	rules	ruled
boast	boasts	boasted
occasion	occasions	occasioned
tempt	tempts	tempted
exclude	excludes	excluded
visit	visits	visited
repair	repairs	repaired
enable	enables	enabled
include	includes	included
bid	bids	bid
interpret	interprets	interpreted
hurt	hurts	hurt
quit	quits	quit
cite	cites	cited
accuse	accuses	accused
dissolve	dissolves	dissolved
practise	practises	practised
deprive	deprives	deprived
beat	beats	beat
spare	spares	spared
exalt	exalts	exalted
limit	limits	limited
wonder	wonders	wondered
gather	gathers	gathered
extend	extends	extended
ground	grounds	grounded
fetch	fetches	fetched
attempt	attempts	attempted
form	forms	formed
bestow	bestows	bestowed
free	frees	freed
possess	possesses	possessed
corrupt	corrupts	corrupted
paint	paints	painted
accompany	accompanies	accompanied
part	parts	parted
fulfil	fulfils	fulfilled
decree	decrees	decreed
ruin	ruins	ruined
reply	replies	replied
betray	betrays	betrayed
consent	consents	consented
land	lands	landed
reign	reigns	reigned
strike	strikes	struck
compose	composes	composed
spread	spreads	spread
reserve	reserves	reserved
introduce	introduces	introduced
blame	blames	blamed
separate	separates	separated
suffice	suffices	sufficed
trouble	troubles	troubled
sail	sails	sailed
attain	attains	attained
multiply	multiplies	multiplied
enact	enacts	enacted
apprehend	apprehends	apprehended
approach	approaches	approached
honour	honours	honoured
sow	sows	sowed
ease	eases	eased
last	lasts	lasted
shut	shuts	shut
erect	erects	erected
manage	manages	managed
reward	rewards	rewarded
contradict	contradicts	contradicted
persecute	persecutes	persecuted
date	dates	dated
cure	cures	cured
regard	regards	regarded
retire	retires	retired
frame	frames	framed
recommend	recommends	recommended
induce	induces	induced
strengthen	strengthens	strengthened
like	likes	liked
guard	guards	guarded
provoke	provokes	provoked
finish	finishes	finished
bow	bows	bowed
annex	annexes	annexed
convict	convicts	convicted
report	reports	reported
ensue	ensues	ensued
blow	blows	blew
inherit	inherits	inherited
conceal	conceals	concealed
guide	guides	guided
resign	resigns	resigned
laugh	laughs	laughed
contribute	contributes	contributed
study	studies	studied
amount	amounts	amounted
claim	claims	claimed
purchase	purchases	purchased
correct	corrects	corrected
describe	describes	described
withdraw	withdraws	withdrew
inflict	inflicts	inflicted
invade	invades	invaded
prescribe	prescribes	prescribed
rid	rids	rid
communicate	communicates	communicated
pronounce	pronounces	pronounced
admire	admires	admired
conquer	conquers	conquered
lessen	lessens	lessened
wash	washes	washed
reap	reaps	reaped
curse	curses	cursed
prosecute	prosecutes	prosecuted
lift	lifts	lifted
starve	starves	starved
reconcile	reconciles	reconciled
shake	shakes	shook
sate	sates	sated
coin	coins	coined
ascribe	ascribes	ascribed
enquire	enquires	enquired
prefer	prefers	preferred
insert	inserts	inserted
revive	revives	revived
guess	guesses	guessed
shoot	shoots	shot
watch	watches	watched
renew	renews	renewed
besiege	besieges	besieged
contract	contracts	contracted
conform	conforms	conformed
view	views	viewed
pull	pulls	pulled
invite	invites	invited
inhabit	inhabits	inhabited
translate	translates	translated
abide	abides	abided
imprison	imprisons	imprisoned
suppress	suppresses	suppressed
stick	sticks	stuck
abuse	abuses	abused
vow	vows	vowed
confine	confines	confined
excite	excites	excited
state	states	stated
confer	confers	conferred
descend	descends	descended
care	cares	cared
invest	invests	invested
behead	beheads	beheaded
press	presses	pressed
divert	diverts	diverted
elect	elects	elected
cost	costs	cost
beget	begets	begat
rob	robs	robbed
discharge	discharges	discharged
prohibit	prohibits	prohibited
shed	sheds	shed
seat	seats	seated
quench	quenches	quenched
demonstrate	demonstrates	demonstrated
vindicate	vindicates	vindicated
invent	invents	invented
urge	urges	urged
exert	exerts	exerted
share	shares	shared
swallow	swallows	swallowed
assign	assigns	assigned
steal	steals	stole
cheat	cheats	cheated
devise	devises	devised
